Symbol	Description	Last	%Change	Volume	Bid	Ask	Market Cap	Vol Index
ADYEY	ADYEN N V ADR	9.31	0.00%	160,414	9.39	9.40	29,361 M	N/A	
AGI	ALAMOS GOLD INC NEW A	30.34	0.00%	292,136	30.30	31.00	12,742 M	55.37%	
ALM	ALMONTY INDS INC	16.56	0.00%	126,407	16.66	16.83	4,699 M	92.78%	
B	BARRICK MNG CORP	36.73	0.00%	126,330	36.50	36.75	61,541 M	46.35%	
CCXI	CHURCHILL CAP CORP X A	17.45	0.00%	1,163,574	18.35	18.47	972 M	N/A	
CDE	COEUR MNG INC	16.32	0.00%	112,426	16.16	16.30	16,818 M	70.01%	
FIG	FIGMA INC A	18.09	0.00%	454,766	18.34	18.50	9,558 M	91.17%	
GIS	GENERAL MILLS INC	34.80	0.00%	347,375	36.81	37.00	18,572 M	37.90%	
GTLB	GITLAB INC A	30.53	0.00%	112,011	30.75	31.20	5,157 M	73.46%	
HL	HECLA MNG CO	15.43	0.00%	148,128	15.37	15.45	10,349 M	68.09%	
KLAR	KLARNA GROUP PLC	20.24	0.00%	1,040,088	22.30	22.32	7,653 M	88.29%	
NIO	NIO INC A ADR	5.06	0.00%	2,357,776	4.93	4.94	12,679 M	67.39%	
NKE	NIKE INC Class B	41.05	0.00%	3,089,542	41.10	41.15	60,790 M	55.53%	
PATH	UIPATH INC A	10.87	0.00%	203,595	11.00	11.05	5,632 M	63.53%	
PCOR	PROCORE TECHNOLOGIES	40.62	0.00%	245,978	41.10	41.99	6,129 M	71.34%	
RAAQ	REAL ASSET ACQUISITI A	10.80	0.00%	318,799	12.18	12.20	248 M	N/A	
RNECY	RENESAS ELECTRONICS ADR	15.36	0.00%	208,318	15.14	16.21	55,735 M	N/A	
SDOT	SADOT GROUP INC	35.09	0.00%	148,856	38.90	40.00	36 M	N/A	
SVM	SILVERCORP METALS IN	10.10	0.00%	345,730	9.99	10.25	2,234 M	77.91%	
TTD	THE TRADE DESK INC A	18.08	0.00%	306,602	18.24	18.30	8,500 M	66.67%	
UPC	UNIVERSE PHARMACEUTI A	6.10	0.00%	546,304	5.91	5.97	4 M	N/A	
UUUU	ENERGY FUELS INC	14.50	0.00%	159,097	14.55	14.61	3,624 M	85.23%	
VNET	VNET GROUP INC ADR	8.04	0.00%	883,878	8.30	8.35	2,289 M	80.84%	
XPEV	XPENG INC ADR ADR	13.24	0.00%	395,697	13.58	13.59	12,665 M	70.56%	
ZETA	ZETA GLOBAL HLDGS CO A	19.68	0.00%	307,339	19.90	20.00	4,905 M	79.52%	
