Symbol  Description 		Last 	%Change	Volume 	Bid 	Ask 	Market Cap 	Vol Index
ABCL	ABCELLERA BIOLOGICS	6.52	0.00%	123,524	6.64	6.66	1,991 M	101.26%	
ABEO	ABEONA THERAPEUTICS	7.01	0.00%	114,807	7.02	7.14	400 M	74.86%	
AG	FIRST MAJESTIC SILVE	16.40	0.00%	277,182	17.07	17.11	8,098 M	76.12%	
AGEN	AGENUS INC EQUITY Equity	6.12	0.00%	427,198	6.18	6.19	255 M	152.93%	
APLD	APPLIED DIGITAL CORP	28.84	0.00%	421,264	29.85	29.91	8,242 M	105.10%	
ASX	ASE TECHNOLOGY HLDG ADR	40.56	0.00%	243,863	41.95	42.06	88,986 M	91.28%	
B	BARRICK MNG CORP	35.94	0.00%	293,374	37.01	37.13	60,218 M	48.33%	
BCS	BARCLAYS PLC ADR	27.29	0.00%	175,636	27.61	27.64	92,013 M	42.70%	
BMNR	BITMINE IMMERSION TE	14.61	0.00%	961,973	15.16	15.17	8,322 M	133.18%	
CCXI	CHURCHILL CAP CORP X A	14.34	0.00%	141,971	14.85	14.90	799 M	N/A	
CDE	COEUR MNG INC	15.59	0.00%	131,658	16.00	16.15	16,066 M	78.65%	
CIFR	CIPHER DIGITAL INC	20.085	0.00%	180,256	20.59	20.70	8,216 M	121.02%	
CLSK	CLEANSPARK INC	12.36	0.00%	6,475,071	14.72	14.77	3,172 M	111.92%	
CRML	CRITICAL METALS CORP	7.45	0.00%	258,909	7.82	7.85	1,094 M	124.93%	
ELPC	COMPANHIA PARANAENSE ADR	11.82	0.00%	101,566	11.92	11.97	8,775 M	186.31%	
ERAS	ERASCA INC	17.90	0.00%	146,037	18.51	18.66	5,567 M	99.25%	
FCEL	FUELCELL ENERGY INC	19.08	0.00%	508,204	20.90	20.98	1,525 M	149.38%	
FLNC	FLUENCE ENERGY INC A	15.16	0.00%	260,428	15.74	15.75	2,013 M	142.03%	
GFI	GOLD FIELDS LTD NEW ADR	33.53	0.00%	256,839	34.03	34.10	29,990 M	61.88%	
HIMS	HIMS & HERS HEALTH I A	34.38	0.00%	333,561	34.78	34.90	7,958 M	118.58%	
HL	HECLA MNG CO	15.25	0.00%	395,847	15.75	15.89	10,228 M	69.54%	
HMY	HARMONY GOLD MNG LTD ADR	14.99	0.00%	153,230	15.22	15.32	9,366 M	54.11%	
HPE	HEWLETT PACKARD ENTE	47.24	0.00%	126,228	48.50	48.59	62,555 M	69.45%	
IREN	IREN LTD	38.98	0.00%	1,373,591	39.95	40.00	13,931 M	131.44%	
KTOS	KRATOS DEFENSE & SEC	46.96	0.00%	109,770	48.51	48.79	8,806 M	84.75%	
MARA	MARA HLDGS INC	12.19	0.00%	1,381,858	12.60	12.61	4,648 M	93.64%	
NCLTY	NITORI HLDGS CO LTD ADR	7.32	0.00%	917,000	7.27	7.85	8,272 M	N/A	
NVTS	NAVITAS SEMICONDUCTO	12.87	0.00%	351,996	13.45	13.49	3,135 M	129.33%	
OKLO	OKLO INC A	45.81	0.00%	230,232	46.70	46.80	7,971 M	99.32%	
ONDS	ONDAS INC	6.96	0.00%	1,222,302	7.06	7.07	3,966 M	105.65%	
OUST	OUSTER INC A	40.03	0.00%	129,491	41.20	41.85	2,694 M	155.98%	
PBR/A	PETROLEO BRASILEIRO ADR	15.90	0.00%	209,685	16.16	16.19	102,465 M	48.23%	
POET	POET TECHNOLOGIES IN	8.00	0.00%	401,639	8.35	8.36	1,381 M	141.55%	
PURR	HYPERLIQUID STRATEGI	7.16	0.00%	137,299	7.38	7.44	1,407 M	72.98%	
QXO	QXO INC	13.89	0.00%	214,642	14.21	14.27	14,415 M	77.61%	
RCRUY	RECRUIT HLDGS CO LTD ADR	15.33	0.00%	191,710	15.05	15.84	106,710 M	N/A	
REPL	REPLIMUNE GROUP INC	9.935	0.00%	170,015	9.86	10.01	834 M	405.18%	
RIG	TRANSOCEAN LTD	5.37	0.00%	199,988	5.48	5.50	5,943 M	63.60%	
RIOT	RIOT PLATFORMS INC	20.19	0.00%	310,268	20.94	20.99	7,635 M	65.39%	
RKT	ROCKET COMPANIES CLA A	13.91	0.00%	153,760	14.38	14.40	39,357 M	72.38%	
SAN	BANCO SANTANDER SA ADR	13.66	0.00%	477,806	13.68	13.69	195,583 M	29.71%	
SBET	SHARPLINK INC	5.42	0.00%	149,040	5.58	5.59	1,140 M	96.37%	
SBSW	SIBANYE STILLWATER L ADR	8.42	0.00%	185,303	8.59	8.63	5,958 M	67.37%	
SMR	NUSCALE PWR CORP A	8.35	0.00%	1,189,031	8.51	8.52	2,890 M	107.64%	
UBXG	U-BX TECHNOLOGY LTD A	6.30	0.00%	2,603,838	10.30	10.36	11 M	N/A	
UMC	UNITED MICROELECTRON ADR	23.46	0.00%	258,877	24.15	24.53	58,868 M	110.92%	
USAR	USA RARE EARTH INC A	17.21	0.00%	356,885	17.75	17.77	4,211 M	83.46%	
WOLF	Wolfspeed Inc	33.65	0.00%	249,286	35.20	35.47	1,749 M	126.50%	
XE	X-ENERGY INC A	15.43	0.00%	1,225,453	15.74	15.79	4,435 M	106.00%	
YAHOY	LY CORP ADR	5.438	0.00%	130,450	5.300	5.720	18,650 M	N/A	
