Symbol	Description	Last	Extended_Session_Percent Change	Extended_Session_Net_Change	Volume	Bid	Ask	Vol_Index	Market_Cap
AEG	AEGON LTD ADR ADR ADR	8.95	+1.24%	.11	1,143,554	8.95	8.96	32.60%	13,234 M	
AG	FIRST MAJESTIC SILVE	16.875	+1.00%	.17	1,459,533	16.87	16.88	75.78%	8,332 M	
AGEN	AGENUS INC EQUITY Equity	4.97	+2.17%	.11	1,209,456	4.96	4.98	138.84%	207 M	
AMPG	AMPLITECH GROUP INC	7.12	+5.12%	.36	847,914	7.13	7.16	163.34%	180 M	
BMNR	BITMINE IMMERSION TE	16.25	+3.01%	.49	11,009,672	16.24	16.25	84.61%	9,256 M	
CLSK	CLEANSPARK INC	14.055	+3.05%	.41	10,810,380	14.05	14.06	100.82%	3,607 M	
DQJCY	PAN PAC INTL HLDGS C ADR	10.6000	+22.75%	2.4589	121,186	10.6000	10.9500	N/A	15,844 M	
DRVN	DRIVEN BRANDS HLDGS	15.78	+0.78%	.12	198,054	15.76	15.80	66.29%	2,603 M	
ELVA	ELECTROVAYA INC	11.2427	+55.39%	4.37	15,216,961	11.23	11.32	140.15%	557 M	
EQX	EQUINOX GOLD CORP	9.485	+0.11%	.01	835,360	9.48	9.49	82.64%	7,485 M	
ERIC	ERICSSON B ADR	10.205	+1.78%	.18	2,260,840	10.20	10.21	35.07%	33,694 M	
ERNA	ERNEXA THERAPEUTICS	8.38	+39.60%	2.40	21,566,128	8.30	8.39	N/A	9.8 M	
GFI	GOLD FIELDS LTD NEW ADR	32.94	-1.02%	-.34	1,130,589	32.94	32.95	59.84%	29,462 M	
LPTH	LIGHTPATH TECHNOLOGI A	12.06	+5.56%	.64	596,832	12.04	12.08	122.82%	757 M	
NOK	NOKIA CORP Series A ADR	11.415	+2.74%	.32	21,169,515	11.41	11.42	88.91%	63,725 M	
NXTC	NEXTCURE INC	5.69	-16.41%	-1.08	2,204,131	5.68	5.80	N/A	23 M	
PCT	PURECYCLE TECHNOLOGI Equity	7.415	+2.66%	.18	1,058,078	7.40	7.43	107.56%	1,488 M	
PSO	PEARSON PLC ADR	16.585	+0.42%	.07	308,270	16.58	16.59	116.26%	9,958 M	
PURR	HYPERLIQUID STRATEGI	7.66	+2.72%	.20	1,701,359	7.65	7.67	123.65%	1,506 M	
RIVN	RIVIAN AUTOMOTIVE IN A	18.715	+1.71%	.30	7,472,465	18.71	18.72	82.71%	27,088 M	
SBET	SHARPLINK INC	6.19	+3.19%	.19	3,734,396	6.19	6.20	91.20%	1,302 M	
SECZ	SECURITIZE CORP A	8.54	+5.61%	.42	362,073	8.53	8.58	166.77%	1,264 M	
SMCI	SUPER MICRO COMPUTER	27.7304	+1.37%	.38	3,718,873	27.73	27.74	105.91%	17,938 M	
SOBKY	SOFTBANK CORP ADR	13.540	0.00%	0	506,659	13.530	13.570	N/A	64,760 M	
STLA	STELLANTIS N V	5.935	+3.60%	.205	2,879,098	5.93	5.94	62.25%	17,197 M	
TRT	TRIO TECH INTL	12.5046	+18.91%	1.94	939,428	12.43	12.61	N/A	126 M	
UMAC	UNUSUAL MACHS INC NE Equity	19.85	+3.32%	.62	1,139,924	19.80	19.90	135.89%	949 M	
VEEE	TWIN VEE POWERCATS C	40.1067	+14.05%	5.41	4,013,337	40.00	40.67	N/A	23 M	
XPEV	XPENG INC ADR ADR	14.16	+2.62%	.35	2,100,733	14.14	14.16	63.77%	13,545 M	
